GaussianMixture(n_components=3),KMeans(n_clusters=2),"SpectralClustering(affinity='nearest_neighbors', n_clusters=2, random_state=0)",AgglomerativeClustering()
0.07053677403536024,0.147435360817819,0.14668536383136932,0.14284605329246294
0.10148661709198117,0.14077365220710555,0.13982523055660626,0.14018023649975095
0.0856735751272414,0.13450288428246687,0.13422254287263144,0.1290806337428232
0.08436198914533194,0.14324041570922522,0.14140537130229394,0.13352980358189634
0.12556181520115847,0.14339458853006065,0.14350580143463135,0.1404072061496718
0.07657020668536609,0.14002547276955785,0.13981584841440553,0.12007438112220149
0.08523857675742685,0.13307400296003266,0.13323565817742908,0.13256331491939152
0.06695317815972612,0.14095580228180063,0.14287934494896573,0.13994142151010658
0.12594791272787706,0.14203507620678674,0.14200940506144383,0.13796347952278099
0.123987503828623,0.13454105499373215,0.13844895594854575,0.13406300895823495
0.06737160952372491,0.13929700334889042,0.13836039403444864,0.13681328341585128
0.10345997609533422,0.14376743060907016,0.17799198718975492,0.14022267127045496
0.08618622980524754,0.1423483126664517,0.14308740368800074,0.1409830983988153
0.12933564762149669,0.14034483639516396,0.1403439899364708,0.12594511611115242
0.08331796801543849,0.14375460138282642,0.14355243599974477,0.13797434733314723
0.11816925299193415,0.1432012020837864,0.14373312772771996,0.13989483548647355
0.12522571395729185,0.13854723823190904,0.13774373795679665,0.1358621383416214
0.05734066253493639,0.14287589910036685,0.15856976931543612,0.13359182283212534
0.12613825421083324,0.14342282351307903,0.1428747840459449,0.13536364345277746
0.06207878166352407,0.1450489805884771,0.14443655091603014,0.13514281807689907
