DBSCAN,OneClassSVM
0.0026058678976799534,0.003206016538908396
0.0020224159996079603,0.0030017871573354855
0.002157123534569819,0.003262557797251181
0.002250568889640499,0.003083581479748158
0.0024036056836123578,0.0035549602150632235
0.002286456966853605,0.0032566571731611517
0.0024428084904704367,0.0035816165981463538
0.0020300316273091576,0.002758429691394613
0.0018444260144544777,0.002715560007137758
0.0021370011992978217,0.0027874794912524266
0.0020639275841870686,0.002827969768846096
0.0023205548180476863,0.0034628972631542444
0.0020448684195998254,0.002863031409764457
0.0018142039135742075,0.0035528241480334045
0.0017672813652042365,0.0034597039985403717
0.001737633705695397,0.0034224577897640183
0.0025150955665237456,0.003249802107654017
0.00205513361709431,0.0027151164139536544
0.001855708337610042,0.002643627995508154
0.002108694732588062,0.0032095569682783244
