DBSCAN,OneClassSVM
0.0003450508989673029,0.0004956858740454428
4.8428459136809834e-05,0.00027378631231533834
0.00041127490564013894,0.0003381735869791014
0.0002653801903909174,0.0004381248107729607
0.00025638949839449504,0.0003683315502867879
0.0003104188206639394,0.0002494796936388377
0.0001690038604345353,0.00015431816491293104
0.00025978734802317195,0.0003312925924194299
3.64248828602122e-05,0.0003209725335454605
0.00011516599634850237,0.0003477022569220445
0.00018981821887068158,0.0003774154294498566
0.0003041540428780302,0.0003548580146431335
3.2500772739167336e-05,0.0001451025247939941
0.00010149994084474555,0.00035107602464021226
0.0001686181578298765,0.0004090718502235968
0.00019786504371043477,0.0006301968774389266
7.802292057010156e-05,0.0003746558516282694
5.187669814561008e-05,0.00018118955696053152
5.530694594680502e-07,0.000543705842341563
7.703674323498999e-05,0.00044915175039669797
