GaussianMixture(n_components=3),KMeans(n_clusters=4),"DBSCAN(eps=4.5, min_samples=720)","SpectralClustering(affinity='nearest_neighbors', n_clusters=3, random_state=0)",AgglomerativeClustering(n_clusters=3)
0.23826849866785452,0.21677889533819808,0.1396978083107378,0.23826273687659905,0.23824843857978853
0.23794146624755,0.21678543850694076,0.13991776348248466,0.2379607543631117,0.23789574582618192
0.23843841597246082,0.21710130830814925,0.1413020647261482,0.23841212444952117,0.2383584185478152
0.23587146086799293,0.21469666045869704,0.13969419390015636,0.23608487918292104,0.23229896957333718
0.2365050362631754,0.21405937453068855,0.17814051616332444,0.23650195745343117,0.23193982406262798
0.23673628422840756,0.2143333590834488,0.13910210743784032,0.23679785047281376,0.23675533572052174
0.2380620845462106,0.21673096529335553,0.13933212903012318,0.23798832366768594,0.23795730129409481
0.2383735274128479,0.2165316153971008,0.18345601436467696,0.2383101841565308,0.23832660975390632
0.23649195707463055,0.21324440127817612,0.13635621929155567,0.23651269782592554,0.2365334829846529
0.23726147275824072,0.21447352931093983,0.17925099650644627,0.23729467635877727,0.2370823863498842
0.2361979895171028,0.1880792083769978,0.1384209306071992,0.23619726294015808,0.23608340370328074
0.23488257955164,0.21284694063319357,0.13715884807880216,0.2348685960875253,0.23480949666423712
0.2366657951835537,0.2148792324054376,0.1366996075201024,0.23669425250232362,0.2331075175886268
0.23575044067803014,0.21462614475222686,0.18055142758868964,0.23572664277030964,0.23565960320514204
0.23579740024641346,0.2134758969835818,0.13791069723846439,0.23582505888256264,0.23576481329919144
0.23721906468249834,0.21670098789037728,0.13975382157700086,0.23723930875779106,0.23372613031372066
0.23760934370076905,0.2160537406230851,0.13962594876030637,0.23755466938890377,0.2338269867425554
0.15456812776208484,0.21439459325074045,0.13706357041117107,0.23564792924918015,0.23554033996296575
0.23765303873981747,0.2156873539887494,0.1795127632425353,0.2375168861806133,0.2336449729753877
0.23793838402381415,0.21554625782391057,0.1395120029891968,0.23790711343023363,0.23417241652649318
