GaussianMixture(n_components=3),KMeans(n_clusters=4),"DBSCAN(eps=4.5, min_samples=720)","SpectralClustering(affinity='nearest_neighbors', n_clusters=3, random_state=0)",AgglomerativeClustering(n_clusters=3)
0.9379875298813259,1.1087366840799278,0.6345039841465897,0.9361332957717192,0.9359190403349067
0.9357670523859617,1.1075320488851725,1.0128647423052275,0.9371701856266325,0.9368999668915359
0.9427162431206714,1.1173917274123135,0.628446495787961,0.9445336951075705,0.9462873517740117
0.9295555656361697,1.1058063842389936,0.6296839349876749,0.9304292318270623,0.9300398796316972
0.9378779700235408,1.1084997613250982,0.6302287107629887,0.9343776524836318,0.9356674407951499
0.936137802244608,1.119060105577191,0.6373788984036868,0.938992819007695,0.9392234651830017
0.7638536326726862,1.1123216879724083,0.632166482837302,0.9357730318049882,0.9370947158017882
0.9388518872495223,1.107881153204504,0.6305424016693126,0.9377495803902788,0.936870030827844
0.932964867824724,1.1069273087068556,0.6297358708512213,0.9389382977116923,0.9355392957392317
0.9392991829495421,1.109845239155407,0.6324412390723446,0.9369533761884024,0.9342651438855814
0.9375908261851704,1.1057566099304568,1.010974252393635,0.9395678465196239,0.9386817074057742
0.9300870794183254,1.107811935035813,0.6270469534707624,0.9318015043709649,0.9335622732358371
0.7703088992204203,1.1133079784629794,0.6331760822600071,0.9380774317213237,0.9408268559211725
0.9373270709703898,1.1056596936698644,0.6346861126968566,0.9381750592236069,0.9371468956885157
0.9412081198884334,1.1140522151301386,0.6260435710297856,0.9436665299031866,0.9195932514330807
0.9362858579136556,1.1106145461833754,1.0187552065470828,0.9368841176437368,0.9102551233379316
0.9360010015833468,1.1130354650848213,0.6336788853503585,0.9373296072385,0.9379440584536913
0.9332739148476067,1.1058916217297559,1.0449069287883725,0.933026857686098,0.9307322534033309
0.9384551852823346,1.1140763488147076,0.6359296664813873,0.9409666323487105,0.941165308755966
0.9419418027669944,1.1130585631808192,0.62599008274182,0.9400930253511921,0.9160977324057542
