DBSCAN,OneClassSVM
0.0011240618456381728,0.0022742333331607478
0.0012808256086724343,0.0021214692745322
0.0010405105635415304,0.002668176421614314
0.0009957034611682556,0.002452341239548522
0.000971985644471215,0.002912288587775737
0.0011145531682236923,0.0019084209923019412
0.0012473588196583692,0.0024810784376425917
0.0011830344766736267,0.002089083452239739
0.0009987121436032314,0.00259865738304986
0.0012018393478916661,0.002463537857683565
0.001133546169761905,0.002742504920459755
0.0008356512678069005,0.0030763450575338087
0.0011152856369011127,0.0027820774917452756
0.0008688826325697232,0.0030810411874704173
0.0009124780125714617,0.003411407369520012
0.0008546704170577344,0.002396556567314521
0.0012059898815642211,0.0029086004109661473
0.0008721500244348998,0.0020655700341167572
0.0007998664519471778,0.002888683796751529
0.0010453063297554358,0.0024135914107910623
