GaussianMixture(n_components=3),KMeans(n_clusters=4),"SpectralClustering(affinity='nearest_neighbors', n_clusters=3, random_state=0)",AgglomerativeClustering(n_clusters=3)
0.23696230034049837,0.2142848352434974,0.23688673101523314,0.2368250644977336
0.2373531608959519,0.21540765397297218,0.2373763874909879,0.23373991154764895
0.23573621169010775,0.2137495023861935,0.23579786588047877,0.2356643641527482
0.23842421466546826,0.21526075754556379,0.23835276169353092,0.23842008713719648
0.2359009345171874,0.21486936066575313,0.23606372543118118,0.23212447153850763
0.23759333327710214,0.21596493231349273,0.23761860513115035,0.23761422842725788
0.23766915571618252,0.21520383154054643,0.23760941058269214,0.23763184026092313
0.2368579695666932,0.18905909384198913,0.23686049506819723,0.23681879950958915
0.23921886599547879,0.21778025389050962,0.23915696459535798,0.23605566563802557
0.2372517521142095,0.2142460448313103,0.2372202090187802,0.2371872750429538
0.238367323237525,0.21638866351565111,0.2383548399042511,0.23824628893612326
0.23673263724799626,0.2149420963216205,0.2366474499121576,0.2364486157699117
0.23644706607907665,0.21574980350725745,0.2364158540798735,0.23640737596305786
0.23611699589205246,0.21392750839816185,0.236104449579402,0.23603909156652925
0.23675982328876047,0.2145881468938434,0.2367894565735013,0.23668451463749499
0.23783378542875944,0.21582292986316476,0.23782349064645408,0.23774163106640173
0.23672930090684002,0.2148947679394057,0.23671716669583215,0.23676725226447207
0.2382429777252759,0.21618909672659892,0.2382056583063691,0.23819342686332
0.2378296471610181,0.21517082555125938,0.23776249219612028,0.23763792775116777
0.23722219042238435,0.21418825078288914,0.23719578806634098,0.23718596827188732
