GaussianMixture(n_components=3),KMeans(n_clusters=4),"DBSCAN(eps=4.5, min_samples=720)","SpectralClustering(affinity='nearest_neighbors', n_clusters=3, random_state=0)",AgglomerativeClustering(n_clusters=3)
0.572834067239471,0.5957729240456541,0.3403663467625657,0.5732093850759306,0.5725301595931126
0.585105257270414,0.6092220636228066,0.7248632168800065,0.5851423835588054,0.5846800601626769
0.5755695145532196,0.5960245560502744,0.3331376628622681,0.5758157166640483,0.5750524146259584
0.5782637677755961,0.6028443134011718,0.3478354851672627,0.5789152453743314,0.5776537045995551
0.5781751555140231,0.6002816070751206,0.3433496624825231,0.5788022156555426,0.5784878075177518
0.5728775347933873,0.5959281648363913,0.3354272904401007,0.5727308880348954,0.5727819502375535
0.33549101384516145,0.5899896178967794,0.3298250183483433,0.5680492137919779,0.5677166290644878
0.5850329098960723,0.6084023330213743,0.35013195372188655,0.5850989531571853,0.584878236245509
0.5781185745495662,0.6016117477060472,0.3320049830368755,0.5788398205046661,0.5789109096313271
0.5765892233459216,0.6001560860822869,0.34772461400589055,0.5763549081445363,0.5770916581116908
0.5762680492230605,0.5973322934892418,0.7151340043601413,0.576371673715071,0.5759105699857152
0.5688579607512536,0.5927864073452865,0.33974758555512063,0.5690276911510171,0.568272314246317
0.34420430264331653,0.6019937156871267,0.3386382639323336,0.5786804908855474,0.5783494447366969
0.5743861820988516,0.5961151238262126,0.3424751908402592,0.5748664464830058,0.5742592691899403
0.5838965661942837,0.605055010623295,0.3366902768264772,0.5837257317857905,0.591326437430766
0.5765093888427475,0.6012751310396622,0.7149784550162394,0.5770630895395026,0.5841627340357618
0.5759266151180897,0.6023886829920333,0.348720160204375,0.5758899520213543,0.5752502254994196
0.5820894283039753,0.6048422945563225,0.7124129196982014,0.5822355471354622,0.5823115165607208
0.5845283058994459,0.6086095893347727,0.35015685805411473,0.5846587198928843,0.5841384768346671
0.5774850226916404,0.6004439578613449,0.3378999358708305,0.5781851360206721,0.5849658350946005
