GaussianMixture(n_components=3),KMeans(n_clusters=4),"DBSCAN(eps=4.5, min_samples=720)","SpectralClustering(affinity='nearest_neighbors', n_clusters=3, random_state=0)",AgglomerativeClustering(n_clusters=3)
0.012123451883721964,0.016091143547379533,0.00719451131588722,0.012277702754483283,0.012156585927699137
0.010867631643620812,0.013431958590899823,0.01958931951459636,0.010824569172780019,0.010732564103676678
0.013045844545116536,0.016808271039432943,0.009932635642592058,0.013204300054719037,0.013152880357676755
0.013489921249373454,0.015886862480782582,0.010091041917014654,0.013537423266635262,0.013612657159372876
0.010282468816583706,0.012668912928221282,0.008188684477609232,0.010335052683199453,0.010143071598672337
0.011681826144207014,0.015357069403259399,0.007430160686424825,0.011745230604611634,0.011789151157147765
0.00865519678518209,0.017498197063479576,0.007401592801416723,0.013614595657398698,0.013421591583839487
0.011720320528465333,0.0147126316169017,0.007554143709993633,0.011774879982725805,0.011643664569685769
0.012789962073539302,0.015346809330828937,0.006987047717300632,0.012972004734834508,0.012333299192785474
0.011782178645963814,0.014885435255270585,0.006779435959908653,0.011899101684244157,0.011617862562980225
0.0125356613376226,0.016396060111534716,0.026989395088880902,0.012518817607262728,0.01253875015461911
0.01237039713469254,0.014663787661301386,0.00969146002029464,0.012451836736038085,0.01229093179459198
0.007417685275103336,0.01576968716990293,0.006729118508393972,0.013037799678228018,0.012878226150746935
0.013728391213932128,0.016533790591154368,0.009426427123513714,0.013894159676613532,0.013726355775174004
0.012585309540235234,0.016059385204790833,0.008984014278662189,0.012594073000478073,0.012718912069818067
0.011245100946739639,0.013780266759356508,0.0207510446841509,0.011346783242504821,0.011507116085169578
0.012021810346288825,0.014830269730867707,0.006823362452051562,0.01220342277774017,0.011861346710013154
0.01187261746179924,0.014523485556412558,0.020967713662824794,0.01196349356457016,0.011601677430470553
0.011313455092275965,0.01397771425324057,0.008792547411862528,0.011416265045219726,0.011284784736944664
0.01332354777746042,0.015910994935081663,0.006901928909514132,0.013614687065407582,0.013646361925794687
