DBSCAN,OneClassSVM
0.0008780521790719336,0.006698929363005585
0.0017538406102695122,0.00904455257570682
0.0013102006330631532,0.00638571638034413
0.0007160172785091825,0.007593125892636579
0.0006786063243838281,0.007374318042016893
0.000887222609523974,0.0072784897125744204
0.0009386343619493927,0.006562289896433481
0.0012505515164978926,0.007068174758546021
0.000702595062602165,0.005641684689511291
0.000777852206625279,0.00741821789191679
0.0007424026702313127,0.006908410221987891
0.0006521941298345961,0.00583169462534188
0.0012609670351437035,0.007149621330534565
0.0011183468026571201,0.005578809942279315
0.0005542889015527092,0.006495792998640467
0.001765774171379598,0.0071907384352482
0.0013932775840548037,0.006277908183863606
0.0007386771784015426,0.0076544154697410485
0.000612250511348312,0.005234151303881762
0.0009527269599626077,0.005647404272307502
