GaussianMixture(n_components=3),KMeans(n_clusters=4),"DBSCAN(eps=4.5, min_samples=720)","SpectralClustering(affinity='nearest_neighbors', n_clusters=3, random_state=0)",AgglomerativeClustering(n_clusters=3)
0.0007232839164100709,0.0013724355664619812,0.002143388861692769,0.0007290319144789091,0.0007350005381620782
0.001407329720929859,0.001873545444515337,0.004226480396232837,0.0013675518455594125,0.0013650212869354811
0.0011200777549723465,0.0013832472680888595,0.00337420274477667,0.0010708141411479716,0.0010730588575682113
0.0006563398060844785,0.0007480888268322817,0.0023051272572433322,0.0006681726241022661,0.0006730632699759333
0.0010066478355654452,0.0011522845913617158,0.002156128858949649,0.001000940893874604,0.0010068992811285106
0.0006972799576094608,0.0008543293756810757,0.0025488472390888164,0.0006567127792073755,0.0006777327489523167
0.0006396036851487653,0.0006759340024985723,0.0025843795299805216,0.0005168727553989502,0.0004871095952689072
0.0013802255601651657,0.0017723270879350262,0.0037416353013907423,0.0013988160393762572,0.0013917633856623769
0.0005338387072472768,0.0009879056342428712,0.0030435789328457238,0.0006017263385698265,0.0006662371169012281
0.001386085373349251,0.0014621479441437424,0.0026528776321508686,0.0013628519325700728,0.0013851528141144208
0.0012440741142953676,0.0015575082589518205,0.005466724863962189,0.0012173225412007273,0.001271635860043236
0.0009022970325838814,0.0010119866425300878,0.002125945789371549,0.0009073663822755879,0.0009110638405355341
0.0014733517740036063,0.0014361020962729806,0.003298365240232611,0.0013227345353343592,0.001293375376673202
0.0011063960075707374,0.0012923069697107577,0.002387244381890225,0.0011009943888911225,0.0010973554690527848
0.0008581531393060502,0.0010348302068597375,0.002812094623262438,0.0008598623707292211,0.0009340787372001623
0.0012313712937340425,0.0013613397531781132,0.004127121200823405,0.0012162466486717591,0.0014103454375932343
0.0015112485398972265,0.001968239376801873,0.003139364768247847,0.0015805954089336618,0.00160991388190401
0.0010396864545946008,0.0015324515333477486,0.004158181118689131,0.0010708021162179264,0.0010467390294988284
0.000991109700317594,0.001221909828175372,0.0026424144226001012,0.0009738589661074369,0.0009733678741630706
0.001122497208384057,0.0014134803992943436,0.0022009925826676126,0.0010981391384229542,0.001057732776496918
