GaussianMixture(n_components=3),KMeans(n_clusters=4),"SpectralClustering(affinity='nearest_neighbors', n_clusters=3, random_state=0)",AgglomerativeClustering(n_clusters=3)
0.9335217614254223,1.1022092526361384,0.9344695747962443,0.936330772786619
0.9333854086880663,1.1070267368293325,0.9374172392113239,0.910052184836464
0.933540746070422,1.1025420747478825,0.9343974207022798,0.9342021896219074
0.7609350170465601,1.1051307970857351,0.9387431951151907,0.9378331643376735
0.7634814839399772,1.1123037398385232,0.9356281317088954,0.9353898181910049
0.9377014384828628,0.9854705903275339,0.9377022335771862,0.909541245563708
0.9257922892853702,1.1062547781096725,0.9341058858553569,0.9350281869701053
0.9369104354125642,1.1045495570548218,0.9361337182963732,0.9072857661322359
0.932460296302464,1.1082869624660308,0.9370316222673858,0.9122995878192413
0.936515014010856,1.1117292527583937,0.9373449583930853,0.9370450366082819
0.9409387442240476,1.111099547322677,0.940018625652608,0.9096946177756506
0.9315517406734204,1.11319010471902,0.9326549480634241,0.9337374073228817
0.93429140457325,1.104868171968067,0.9326111525405042,0.9339115957200602
0.9379767413239388,1.1087979324079424,0.935639438884116,0.935881365568662
0.9352279551137739,1.111114783354811,0.9346652504133268,0.9356167846787911
0.9398087432413623,1.112829251710391,0.9407836319733124,0.9402099043107552
0.9338372550902277,1.1103393420943182,0.9329477805528408,0.9338608312001214
0.9396601055765541,1.1117574342783763,0.9385017435349263,0.9401021761134182
0.9316410248843199,1.1130734566901728,0.9400598102005867,0.9397937190329709
0.934351428184364,1.1060385084743507,0.9339988502426813,0.9044157128536519
