GaussianMixture(n_components=2),KMeans(n_clusters=3),"DBSCAN(eps=14, min_samples=130)","SpectralClustering(affinity='nearest_neighbors', n_clusters=2, random_state=0)",AgglomerativeClustering(n_clusters=3)
0.4407847533882866,0.4409026913097625,0.4410659883109776,0.0033164377197298697,0.44090269130976256
0.43279444001194656,0.4328309489594831,0.43340450298215377,0.0008064396670926363,0.43283094895948315
0.4377672899962883,0.4380004180995383,0.4388366741826637,0.007255730174842677,0.4380004180995383
0.43633860155204157,0.43646787899609146,0.4377913046720192,0.006426443490889239,0.43646787899609146
0.4351975099223282,0.43521350996549185,0.43601671589800106,0.002162539237093518,0.43521350996549185
0.43631266949220693,0.43636964776349274,0.4365337166716909,0.4172820258373475,0.43636964776349274
0.42814326780259826,0.4284462001060952,0.42903602167387017,0.0016098394953753849,0.4284462001060952
0.4261589727921688,0.42634036529083746,0.42729497264187577,0.01579390561671038,0.4263403652908374
0.44241082251382713,0.44255819517902883,0.4437603213710131,0.06933606638552695,0.4425581951790289
0.4353050096726811,0.43536461169358415,0.4364710443571834,0.11215628780316808,0.43536461169358415
0.4386111984636546,0.4385197362499294,0.4385963642419219,0.003817008130935603,0.4385197362499294
0.43369362929197464,0.4338654946814456,0.43522064650238124,0.0015440939848123522,0.4338654946814456
0.4360500259931863,0.43618608632533507,0.43721457490335064,0.014200575503611333,0.43618608632533507
0.44204356849332044,0.4421912250684378,0.4442861109845307,0.004790430852944727,0.4421912250684378
0.4309269160527538,0.4310772777465868,0.43218769851727096,0.002124789001066437,0.4310772777465868
0.430280447422281,0.43039471702619814,0.4310913613815166,0.008317994243787583,0.43039471702619825
0.44300732552805255,0.44316070843354527,0.4440745021932522,0.0034942789573327495,0.44316070843354527
0.4303364005649128,0.43052238344234106,0.43057438522065156,0.0019859437715933417,0.43052238344234106
0.43688950844992336,0.4372943600319974,0.43808722542652273,0.280835860953774,0.4372943600319974
0.4355493636383507,0.43570885460021286,0.4358679585429063,0.0008726925436678664,0.43570885460021286
0.44139451627787923,0.4414291828664994,0.44195958898028675,0.07237580856768705,0.4414291828664994
0.4373473815113561,0.4374948246915445,0.4386250868057236,0.0011697024458812207,0.4374948246915445
0.4285453194778596,0.4286847329278616,0.4300530704056113,0.003096023606211088,0.4286847329278615
0.4384050400806255,0.4384890157586348,0.43913730880708074,0.374006897171637,0.4384890157586348
0.43790033604569956,0.43816963295118805,0.43965482838061787,0.06990309672511474,0.43816963295118805
0.43671362279947457,0.4367899879374928,0.43734828117845603,0.07025118096229448,0.43678998793749285
0.4424785819558687,0.44257879355549035,0.44330495032090245,0.0007310309999498587,0.44257879355549035
0.4396832118618972,0.4398507152878051,0.4403877798832997,0.0014498002820554695,0.4398507152878051
0.4259228542970408,0.4260486227249514,0.4262097807617884,0.0026626817562195888,0.4260486227249514
0.44588099969328415,0.44594439682064163,0.4465073269015908,0.0007176173737641041,0.4459443968206416
