GaussianMixture(n_components=2),KMeans(n_clusters=3),"DBSCAN(eps=14, min_samples=130)","SpectralClustering(affinity='nearest_neighbors', n_clusters=2, random_state=0)",AgglomerativeClustering(n_clusters=3)
0.0009320821594366421,0.0016062539552336658,0.003497638661686089,0.00011009690923006381,0.0016062539552336664
0.0006328963408334088,0.0020424746910079586,0.004677005822877686,1.726793472358202e-05,0.002042474691007958
0.0004607917420984108,0.0008202401756954645,0.002858626855305728,0.00019115794444028906,0.0008202401756954645
0.0005833356844051727,0.0015202872640767326,0.002322640588550953,0.0002315582936300765,0.0015202872640767326
0.0002551658582959954,0.0015788014376362284,0.0035617394364463924,6.079873625792478e-05,0.0015788014376362284
0.0005610571524271456,0.0014848921123613366,0.0032135480735860375,0.0005994952265702206,0.0014848921123613366
0.0008841380200402338,0.001894074959147532,0.003915144187409467,3.7616247453787035e-05,0.001894074959147532
0.0004111950550144904,0.001341993574452288,0.0034888550379166203,0.0006265449739261096,0.001341993574452288
0.0007122074693027403,0.0017718408332135025,0.0036864394950012116,0.0013474470374593478,0.0017718408332135025
0.0006755100173447371,0.0010840083155263737,0.0035113117155198903,0.006206724189628234,0.0010840083155263737
0.0006904368797381848,0.001975943624029154,0.0052500912728733525,0.00014365068096541713,0.001975943624029154
0.0006399208775312618,0.0012361173520628833,0.0037477131424939374,3.340815248389613e-05,0.0012361173520628833
0.000998673115375319,0.001878046061441825,0.004810675235655406,0.0001734125605652783,0.001878046061441825
0.0005578494815864357,0.0012470508445371936,0.00400278439027719,0.0001804794428380336,0.0012470508445371934
0.00037637291109420077,0.0009859990601104656,0.003973110430188699,5.9542109227189136e-05,0.0009859990601104656
0.0010684301592515538,0.0023391774386366344,0.004610889414257755,0.00016041591588134571,0.002339177438636635
0.0011638936180904968,0.0017917176132627947,0.004475057069908262,8.013777793708864e-05,0.0017917176132627947
0.0009296531840209251,0.002140651755269278,0.0037910473549636324,9.634751974255107e-05,0.002140651755269278
0.0013011854332425988,0.0025322440490613625,0.004027230699809591,0.0005534246628896779,0.0025322440490613625
0.0010370161930257204,0.002500788836969372,0.004197566890925764,0.0001517320166048628,0.002500788836969372
0.0007375482054909259,0.0015871082387714935,0.0028753429980670066,0.0010018017110373998,0.0015871082387714935
0.0007484542359002143,0.001761329175796703,0.003937730488986449,2.7808709592669605e-05,0.001761329175796703
0.0004649167002496493,0.0012696016953886262,0.003308667417517977,0.00016300474390119727,0.001269601695388626
0.00023590104896484471,0.0016085769621291984,0.003682956957828647,0.0001939086668550701,0.0016085769621291984
0.0007812665452278864,0.001983013822491601,0.004329476212208335,0.0014522922927748321,0.0019830138224916014
0.0004699709467886064,0.0014830007907354972,0.004981864630707423,0.0012500774415058204,0.001483000790735497
0.0005231225378575214,0.001056736062975856,0.0032819671200496627,1.5465543445107263e-05,0.0010567360629758563
0.0008220115531465946,0.002341482856622084,0.0037159538470479436,3.372906941862799e-05,0.002341482856622084
0.0005908091295523965,0.001603718134715194,0.0039047736462764437,9.407545987289237e-05,0.001603718134715194
0.0008842114615654887,0.001824027769086752,0.0037645599920817377,1.691197490125704e-05,0.001824027769086752
